epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
75,4371.16,1.84057,3.49906,2.00029,0.00765,1.49189,0.41817,0.41832,0.37665,0.18629,0.35273,0.35267,0.30471,0.13061,nan,nan,nan,nan,0,0.00033425,0.00033425,0.00033425
76,4420.26,1.84444,3.48918,2.00439,0.0075,1.54774,0.42658,0.41523,0.3681,0.20115,0.36824,0.34834,0.29388,0.14456,1.99377,nan,nan,0.0141,0,0.000321875,0.000321875,0.000321875
77,4467.6,1.82583,3.46472,1.9793,0.00764,1.48878,0.43318,0.42366,0.38593,0.19814,0.38403,0.35223,0.31657,0.14289,2.01161,nan,nan,0.01524,0,0.0003095,0.0003095,0.0003095
78,4515.45,1.83294,3.47555,1.96131,0.00732,1.48676,0.42506,0.41529,0.382,0.19494,0.38363,0.34405,0.31222,0.14106,2.01519,nan,nan,0.01527,0,0.000297125,0.000297125,0.000297125
79,4563.25,1.83278,3.44884,1.99012,0.00745,1.45412,0.43686,0.42334,0.37822,0.20942,0.37473,0.35532,0.31321,0.15614,1.99672,nan,nan,0.01377,0,0.00028475,0.00028475,0.00028475
80,4612.2,1.80991,3.39065,1.92316,0.00742,1.46092,0.43949,0.41851,0.379,0.21086,0.371,0.3549,0.30644,0.15467,1.97984,nan,nan,0.01397,0,0.000272375,0.000272375,0.000272375
81,4659.65,1.81719,3.4185,1.93049,0.00728,1.47847,0.44756,0.415,0.37323,0.20113,0.39334,0.34576,0.30281,0.14752,1.97535,4.07735,2.43005,0.01411,0,0.00026,0.00026,0.00026
82,4706.99,1.82299,3.41952,1.92507,0.00746,1.4421,0.44006,0.42162,0.3887,0.19969,0.3808,0.35683,0.32121,0.14561,2.01863,nan,nan,0.01507,0,0.000247625,0.000247625,0.000247625
83,4755.59,1.81768,3.41026,1.91219,0.0073,1.47281,0.45476,0.42238,0.3945,0.23226,0.40402,0.35887,0.32615,0.17346,1.95966,nan,nan,0.01327,0,0.00023525,0.00023525,0.00023525
84,4804.21,1.79551,3.3994,1.91116,0.00735,1.41687,0.44782,0.40938,0.3823,0.21019,0.39549,0.35429,0.31642,0.15463,1.9855,4.08378,2.4832,0.01412,0,0.000222875,0.000222875,0.000222875
85,4853.34,1.80621,3.40583,1.89775,0.00718,1.39827,0.46211,0.42494,0.38352,0.20698,0.41315,0.35452,0.30764,0.14873,nan,nan,nan,nan,0,0.0002105,0.0002105,0.0002105
86,4905.18,1.8072,3.37719,1.89754,0.00722,1.42673,0.45586,0.42356,0.37912,0.21278,0.39659,0.35805,0.31136,0.15626,nan,nan,nan,nan,0,0.000198125,0.000198125,0.000198125
87,4959.48,1.79959,3.39039,1.87208,0.00715,1.38807,0.4571,0.42856,0.38657,0.21532,0.38347,0.36703,0.31504,0.15874,nan,nan,nan,nan,0,0.00018575,0.00018575,0.00018575
88,5014.04,1.79874,3.37489,1.89216,0.00725,1.40512,0.43507,0.41513,0.37821,0.20948,0.38346,0.35125,0.30987,0.15317,nan,nan,nan,nan,0,0.000173375,0.000173375,0.000173375
89,5083.76,1.78152,3.33046,1.85102,0.00712,1.38498,0.45728,0.42457,0.39088,0.22395,0.39089,0.36108,0.32313,0.16711,nan,nan,nan,nan,0,0.000161,0.000161,0.000161
90,5155.57,1.78457,3.3401,1.85944,0.00711,1.38515,0.4512,0.42542,0.38371,0.21478,0.38138,0.35978,0.31154,0.15692,nan,nan,nan,nan,0,0.000148625,0.000148625,0.000148625
91,5229.16,1.78408,3.36901,1.85858,0.0081,1.17484,0.43183,0.42402,0.38375,0.22461,0.3846,0.34619,0.31186,0.17254,nan,nan,nan,nan,0,0.00013625,0.00013625,0.00013625
92,5304.4,1.76367,3.3437,1.79268,0.00782,1.13226,0.44304,0.42366,0.39187,0.2297,0.38693,0.3533,0.32404,0.17476,nan,nan,nan,nan,0,0.000123875,0.000123875,0.000123875
93,5380.06,1.74506,3.35681,1.7642,0.00786,1.10782,0.45826,0.42405,0.39007,0.23744,0.40559,0.34722,0.31852,0.18046,nan,nan,nan,nan,0,0.0001115,0.0001115,0.0001115
94,5455.69,1.74046,3.28805,1.75613,0.00769,1.09024,0.44263,0.42337,0.39339,0.22904,0.39934,0.35087,0.32306,0.17404,nan,nan,nan,nan,0,9.9125e-05,9.9125e-05,9.9125e-05
95,5530.45,1.75245,3.32449,1.77156,0.00776,1.10204,0.43341,0.42852,0.38816,0.23332,0.39441,0.34471,0.31534,0.17597,nan,nan,nan,nan,0,8.675e-05,8.675e-05,8.675e-05
96,5606.54,1.75432,3.31546,1.7524,0.00769,1.09081,0.43394,0.42882,0.39316,0.2346,0.37228,0.36476,0.32422,0.17743,nan,nan,nan,nan,0,7.4375e-05,7.4375e-05,7.4375e-05
97,5683.62,1.73316,3.2722,1.731,0.00762,1.07022,0.44013,0.41684,0.39097,0.23359,0.39281,0.34854,0.32189,0.17712,nan,nan,nan,nan,0,6.2e-05,6.2e-05,6.2e-05
98,5760.54,1.74112,3.29634,1.72693,0.00771,1.06288,0.45139,0.41826,0.39227,0.2326,0.39238,0.35283,0.31967,0.17563,nan,nan,nan,nan,0,4.9625e-05,4.9625e-05,4.9625e-05
99,5837.49,1.72837,3.30082,1.74775,0.0077,1.07314,0.44181,0.41875,0.38976,0.231,0.39188,0.35377,0.32118,0.17462,nan,nan,nan,nan,0,3.725e-05,3.725e-05,3.725e-05
100,5912.39,1.72456,3.29804,1.72728,0.00767,1.06857,0.44481,0.42498,0.39108,0.23593,0.382,0.35605,0.32042,0.18155,nan,nan,nan,nan,0,2.4875e-05,2.4875e-05,2.4875e-05
